num,corner,vdd,temp,onoise_10k,onoise_total
0,tt,3.3,25,2.9446E-08,6.77514E-05
1,ss,3.0,-40,2.46482E-08,5.8761E-05
2,ff,3.0,-40,2.46507E-08,5.83608E-05
3,sf,3.0,-40,2.47691E-08,5.85529E-05
4,fs,3.0,-40,2.45354E-08,5.86236E-05
5,ll,3.0,-40,2.46464E-08,6.11438E-05
6,hh,3.0,-40,2.46463E-08,5.65343E-05
7,ss,3.0,85,3.45541E-08,7.53917E-05
8,ff,3.0,85,3.45544E-08,7.48529E-05
9,sf,3.0,85,3.47255E-08,7.5034E-05
10,fs,3.0,85,3.4391E-08,7.52325E-05
11,ll,3.0,85,3.45518E-08,7.85417E-05
12,hh,3.0,85,3.45517E-08,7.24357E-05
13,ss,5.5,-40,2.28217E-08,5.90087E-05
14,ff,5.5,-40,2.28979E-08,5.87004E-05
15,sf,5.5,-40,2.29283E-08,5.87493E-05
16,fs,5.5,-40,2.27858E-08,5.89658E-05
17,ll,5.5,-40,2.28606E-08,6.13192E-05
18,hh,5.5,-40,2.28605E-08,5.69439E-05
19,ss,5.5,85,3.2029E-08,7.57963E-05
20,ff,5.5,85,3.21013E-08,7.53038E-05
21,sf,5.5,85,3.21942E-08,7.54477E-05
22,fs,5.5,85,3.1923E-08,7.56591E-05
23,ll,5.5,85,3.20666E-08,7.88531E-05
24,hh,5.5,85,3.20665E-08,7.29663E-05
