num,corner,vdd,temp,thd
0,tt,3.3,25,0.0540432
1,ss,3.0,-40,0.0492049
2,ff,3.0,-40,0.042638
3,sf,3.0,-40,0.052759
4,fs,3.0,-40,0.041753
5,ll,3.0,-40,0.0443331
6,hh,3.0,-40,0.0451166
7,ss,3.0,85,0.0727219
8,ff,3.0,85,0.0717752
9,sf,3.0,85,0.0731423
10,fs,3.0,85,0.0749287
11,ll,3.0,85,0.0739529
12,hh,3.0,85,0.0754223
13,ss,5.5,-40,0.0289347
14,ff,5.5,-40,0.0288329
15,sf,5.5,-40,0.0287334
16,fs,5.5,-40,0.0303103
17,ll,5.5,-40,0.0278272
18,hh,5.5,-40,0.0303511
19,ss,5.5,85,0.0582748
20,ff,5.5,85,0.0561125
21,sf,5.5,85,0.0559534
22,fs,5.5,85,0.0574217
23,ll,5.5,85,0.0557399
24,hh,5.5,85,0.06148
