num,corner,vdd,temp,gbw,pm,av0p1hz,cmrr0p1hz,psrr0p1hz,idd,vos
0,tt,3.3,25,2.47976E+06,69.1549,107.507,120.931,65.1602,-0.000266541,-6.16451E-05
1,ss,3.0,-40,3.02595E+06,69.4954,110.403,96.4688,55.4451,-0.000260455,-0.000584438
2,ff,3.0,-40,3.04696E+06,69.3419,109.355,102.169,61.1741,-0.000265294,-0.000339602
3,sf,3.0,-40,3.02137E+06,69.6841,109.898,91.1898,48.7997,-0.000261077,-0.000766541
4,fs,3.0,-40,3.04646E+06,69.2047,109.883,106.718,62.9761,-0.000264106,-0.000317395
5,ll,3.0,-40,3.37556E+06,65.6516,109.934,99.4123,58.9784,-0.000262856,-0.000444019
6,hh,3.0,-40,2.75158E+06,72.6054,109.934,99.4123,58.9784,-0.000262856,-0.000444019
7,ss,3.0,85,2.07659E+06,69.3905,104.488,108.145,62.303,-0.00025925,-0.000173665
8,ff,3.0,85,2.0867E+06,69.2756,103.16,117.438,63.8544,-0.000263009,1.85695E-05
9,sf,3.0,85,2.07541E+06,69.5745,103.818,110.8,61.0499,-0.000260129,-0.000115692
10,fs,3.0,85,2.08725E+06,69.1085,103.78,130.581,64.7325,-0.000261995,-5.29929E-05
11,ll,3.0,85,2.31398E+06,65.6584,103.871,118.423,63.1537,-0.000261045,-7.61674E-05
12,hh,3.0,85,1.88424E+06,72.4633,103.871,118.423,63.1537,-0.000261045,-7.61669E-05
13,ss,5.5,-40,3.33216E+06,68.551,123.063,105.233,93.7685,-0.000295527,0.000341766
14,ff,5.5,-40,3.34184E+06,68.4704,112.995,103.253,89.9492,-0.000302166,0.000409239
15,sf,5.5,-40,3.33037E+06,68.6309,118.131,104.18,91.4775,-0.000297418,0.000374162
16,fs,5.5,-40,3.34452E+06,68.3985,116.473,103.89,86.0485,-0.000299874,0.000388192
17,ll,5.5,-40,3.69776E+06,64.748,117.216,104.189,105.682,-0.000298571,0.000375499
18,hh,5.5,-40,3.02073E+06,71.773,117.215,104.189,105.682,-0.000298571,0.000375499
19,ss,5.5,85,2.27029E+06,68.4888,105.999,99.3815,76.4918,-0.000287779,0.000574686
20,ff,5.5,85,2.27524E+06,68.4224,100.527,97.9371,74.4672,-0.000293457,0.000674283
21,sf,5.5,85,2.26826E+06,68.6327,103.57,98.4476,69.0305,-0.000289194,0.000620043
22,fs,5.5,85,2.27817E+06,68.2819,102.777,97.9673,78.5906,-0.000291824,0.000688523
23,ll,5.5,85,2.49988E+06,64.8659,103.12,98.6668,75.2494,-0.000290359,0.000622211
24,hh,5.5,85,2.05084E+06,71.6645,103.12,98.6668,75.2494,-0.000290359,0.000622211
