num,corner,vdd,temp,gbw,pm,av0p1hz,cmrr0p1hz,psrr0p1hz,idd,vos
0,tt,3.3,25,2.55703E+06,65.9751,108.381,131.547,64.791,-0.00026609,-3.65156E-05
1,ss,3.0,-40,3.11386E+06,66.2895,111.606,96.6274,55.3347,-0.000259881,-0.000578214
2,ff,3.0,-40,3.13319E+06,66.2048,110.573,102.503,60.9804,-0.000264692,-0.000331491
3,sf,3.0,-40,3.10953E+06,66.5194,111.047,91.2842,48.7296,-0.000260501,-0.000762234
4,fs,3.0,-40,3.13257E+06,66.0268,111.144,107.173,62.7386,-0.000263506,-0.000307757
5,ll,3.0,-40,3.49405E+06,61.7295,111.148,99.6434,58.8235,-0.000262268,-0.00043681
6,hh,3.0,-40,2.83225E+06,69.9354,111.148,99.6434,58.8235,-0.000262268,-0.00043681
7,ss,3.0,85,2.14514E+06,66.1869,105.033,110.161,61.9783,-0.000258898,-0.000146064
8,ff,3.0,85,2.15432E+06,66.137,103.685,113.105,63.4759,-0.000262648,4.91744E-05
9,sf,3.0,85,2.14431E+06,66.4155,104.334,114.074,60.7682,-0.000259778,-9.02434E-05
10,fs,3.0,85,2.15454E+06,65.9259,104.327,126.936,64.3136,-0.000261634,-2.02416E-05
11,ll,3.0,85,2.38682E+06,61.8715,104.407,128.854,62.8002,-0.000260689,-4.70469E-05
12,hh,3.0,85,1.93412E+06,69.8607,104.407,128.854,62.8002,-0.000260689,-4.70471E-05
13,ss,5.5,-40,3.44059E+06,65.2661,119.054,104.093,88.5732,-0.000294956,0.000395054
14,ff,5.5,-40,3.44794E+06,65.2749,111.366,102.236,96.2852,-0.000301546,0.000463379
15,sf,5.5,-40,3.43875E+06,65.393,115.581,103.139,100.19,-0.000296836,0.000425886
16,fs,5.5,-40,3.4507E+06,65.1546,114.22,102.815,83.5915,-0.000299268,0.000443897
17,ll,5.5,-40,3.81214E+06,60.8965,114.84,103.115,98.8311,-0.000297978,0.000429239
18,hh,5.5,-40,3.09915E+06,69.1061,114.84,103.115,98.8311,-0.000297978,0.000429239
19,ss,5.5,85,2.33738E+06,65.2869,105.43,98.0104,78.031,-0.000287543,0.000671336
20,ff,5.5,85,2.34143E+06,65.2972,100.187,96.7266,75.6235,-0.000293204,0.000772706
21,sf,5.5,85,2.33574E+06,65.477,103.128,97.1989,69.6612,-0.000288957,0.000714663
22,fs,5.5,85,2.34396E+06,65.1101,102.351,96.7558,77.0465,-0.000291573,0.000788875
23,ll,5.5,85,2.58746E+06,61.0328,102.69,97.3768,76.5472,-0.000290116,0.000719795
24,hh,5.5,85,2.11282E+06,68.9833,102.69,97.3768,76.5472,-0.000290116,0.000719795
