num,corner,vdd,temp,onoise_10k,onoise_total
0,tt,3.3,25,1.7411E-08,2.42992E-05
1,ss,3.0,-40,1.54439E-08,2.12999E-05
2,ff,3.0,-40,1.44796E-08,2.09591E-05
3,sf,3.0,-40,1.46023E-08,2.10558E-05
4,fs,3.0,-40,1.50491E-08,2.1183E-05
5,ll,3.0,-40,1.47913E-08,2.23686E-05
6,hh,3.0,-40,1.47913E-08,2.01298E-05
7,ss,3.0,85,2.04257E-08,2.71868E-05
8,ff,3.0,85,1.97102E-08,2.68359E-05
9,sf,3.0,85,2.01807E-08,2.68832E-05
10,fs,3.0,85,2.02607E-08,2.71401E-05
11,ll,3.0,85,2.0199E-08,2.86316E-05
12,hh,3.0,85,2.0199E-08,2.57341E-05
13,ss,5.5,-40,1.47046E-08,2.08003E-05
14,ff,5.5,-40,1.37483E-08,2.04894E-05
15,sf,5.5,-40,1.36707E-08,2.05522E-05
16,fs,5.5,-40,1.42713E-08,2.0676E-05
17,ll,5.5,-40,1.39552E-08,2.18228E-05
18,hh,5.5,-40,1.39552E-08,1.9652E-05
19,ss,5.5,85,1.93053E-08,2.66353E-05
20,ff,5.5,85,1.85697E-08,2.63198E-05
21,sf,5.5,85,1.88618E-08,2.63108E-05
22,fs,5.5,85,1.90367E-08,2.65803E-05
23,ll,5.5,85,1.89485E-08,2.80345E-05
24,hh,5.5,85,1.90639E-08,2.52185E-05
