num,corner,vdd,temp,thd
0,tt,3.3,25,0.0885918
1,ss,3.0,-40,0.0571144
2,ff,3.0,-40,0.0566874
3,sf,3.0,-40,0.0585794
4,fs,3.0,-40,0.0566377
5,ll,3.0,-40,0.052534
6,hh,3.0,-40,0.0618988
7,ss,3.0,85,0.125178
8,ff,3.0,85,0.122763
9,sf,3.0,85,0.123075
10,fs,3.0,85,0.124258
11,ll,3.0,85,0.112782
12,hh,3.0,85,0.134254
13,ss,5.5,-40,0.0461073
14,ff,5.5,-40,0.0447873
15,sf,5.5,-40,0.0431238
16,fs,5.5,-40,0.0446271
17,ll,5.5,-40,0.0396634
18,hh,5.5,-40,0.0469289
19,ss,5.5,85,0.100345
20,ff,5.5,85,0.0960868
21,sf,5.5,85,0.102949
22,fs,5.5,85,0.0980902
23,ll,5.5,85,0.0941799
24,hh,5.5,85,0.106723
