num,corner,vdd,temp,gbw,pm,av0p1hz,cmrr0p1hz,psrr0p1hz,idd,vos
0,tt,3.3,25,1.57281E+06,62.4813,113.473,133.666,71.2475,-0.000286309,-2.89848E-05
1,ss,3.0,-40,1.92175E+06,62.2189,116.33,102.865,61.4681,-0.000279892,-0.000290867
2,ff,3.0,-40,1.94286E+06,62.4251,115.273,108.834,67.2181,-0.00028484,-0.000168249
3,sf,3.0,-40,1.92282E+06,62.5017,115.813,97.4408,54.8046,-0.00028045,-0.000382397
4,fs,3.0,-40,1.93824E+06,62.1734,115.812,113.781,69.0287,-0.000283674,-0.000156933
5,ll,3.0,-40,2.14568E+06,59.8855,115.858,105.922,65.0135,-0.000282352,-0.000220563
6,hh,3.0,-40,1.7571E+06,64.3781,115.856,105.922,65.0135,-0.000282352,-0.000220563
7,ss,3.0,85,1.31188E+06,62.8327,110.489,116.055,68.3938,-0.000279015,-8.44374E-05
8,ff,3.0,85,1.32407E+06,63.0093,109.156,120.035,69.9688,-0.000282879,9.83012E-06
9,sf,3.0,85,1.31495E+06,63.1254,109.806,118.334,67.1241,-0.000279923,-6.13102E-05
10,fs,3.0,85,1.32046E+06,62.7314,109.787,132.394,70.8828,-0.000281848,-2.23994E-05
11,ll,3.0,85,1.46288E+06,60.5351,109.871,132.296,69.254,-0.000280861,-3.64052E-05
12,hh,3.0,85,1.19551E+06,64.9635,109.87,132.296,69.254,-0.000280861,-3.64052E-05
13,ss,5.5,-40,2.1115E+06,61.0755,129.306,111.957,95.8449,-0.000315686,0.000171824
14,ff,5.5,-40,2.12861E+06,61.3539,119.111,109.798,102.368,-0.000322368,0.000206871
15,sf,5.5,-40,2.11672E+06,61.3005,124.319,110.707,103.766,-0.000317553,0.0001883
16,fs,5.5,-40,2.12347E+06,61.1331,122.612,110.614,89.8497,-0.000320102,0.000195951
17,ll,5.5,-40,2.34569E+06,58.7846,123.377,110.818,107.051,-0.000318749,0.000189274
18,hh,5.5,-40,1.92286E+06,63.3603,123.369,110.818,107.05,-0.000318749,0.000189274
19,ss,5.5,85,1.43006E+06,61.6681,112.068,105.711,85.7176,-0.000308088,0.000295576
20,ff,5.5,85,1.44003E+06,61.9243,106.59,104.149,83.7824,-0.000313875,0.000348382
21,sf,5.5,85,1.4333E+06,61.9402,109.645,104.731,76.4685,-0.000309538,0.000314813
22,fs,5.5,85,1.43719E+06,61.6542,108.837,104.302,81.4763,-0.000312231,0.000356533
23,ll,5.5,85,1.57975E+06,59.4987,109.185,104.933,84.4475,-0.000310716,0.000320897
24,hh,5.5,85,1.29902E+06,63.9303,109.185,104.933,84.4475,-0.000310716,0.000320897
