num,corner,vdd,temp,gbw,pm,av0p1hz,cmrr0p1hz,psrr0p1hz,idd,vos
0,tt,3.3,25,4.0075E+06,68.9125,113.476,133.666,71.2475,-0.000286309,-2.89847E-05
1,ss,3.0,-40,4.91572E+06,69.156,116.334,102.865,61.4681,-0.000279892,-0.000290867
2,ff,3.0,-40,4.92576E+06,69.193,115.276,108.834,67.2181,-0.00028484,-0.000168249
3,sf,3.0,-40,4.90512E+06,69.5043,115.817,97.4408,54.8046,-0.00028045,-0.000382397
4,fs,3.0,-40,4.9271E+06,68.9117,115.815,113.781,69.0287,-0.000283674,-0.000156933
5,ll,3.0,-40,5.53444E+06,64.3266,115.86,105.922,65.0135,-0.000282352,-0.000220563
6,hh,3.0,-40,4.46358E+06,72.9451,115.86,105.922,65.0135,-0.000282352,-0.000220563
7,ss,3.0,85,3.36667E+06,68.9954,110.492,116.055,68.3938,-0.000279015,-8.44377E-05
8,ff,3.0,85,3.3678E+06,69.0904,109.158,120.035,69.9688,-0.000282879,9.83037E-06
9,sf,3.0,85,3.36286E+06,69.358,109.807,118.334,67.1241,-0.000279923,-6.13099E-05
10,fs,3.0,85,3.36954E+06,68.7571,109.789,132.394,70.8828,-0.000281848,-2.23992E-05
11,ll,3.0,85,3.75768E+06,64.5547,109.872,132.296,69.254,-0.000280861,-3.64049E-05
12,hh,3.0,85,3.03162E+06,72.8304,109.872,132.296,69.254,-0.000280861,-3.64049E-05
13,ss,5.5,-40,5.4695E+06,68.0746,129.364,111.957,95.8449,-0.000315686,0.000171824
14,ff,5.5,-40,5.4479E+06,68.2489,119.117,109.798,102.368,-0.000322368,0.000206871
15,sf,5.5,-40,5.45735E+06,68.324,124.337,110.707,103.767,-0.000317553,0.0001883
16,fs,5.5,-40,5.45987E+06,68.023,122.624,110.613,89.8498,-0.000320102,0.000195951
17,ll,5.5,-40,6.05977E+06,63.5501,123.388,110.818,107.051,-0.00031875,0.000189274
18,hh,5.5,-40,4.90392E+06,72.2223,123.387,110.818,107.051,-0.00031875,0.000189274
19,ss,5.5,85,3.6872E+06,68.1583,112.071,105.711,85.7176,-0.000308088,0.000295576
20,ff,5.5,85,3.67686E+06,68.3226,106.59,104.149,83.7824,-0.000313875,0.000348382
21,sf,5.5,85,3.68103E+06,68.4837,109.647,104.731,76.4685,-0.000309538,0.000314814
22,fs,5.5,85,3.6836E+06,68.0128,108.838,104.302,81.4763,-0.000312231,0.000356533
23,ll,5.5,85,4.08063E+06,63.8325,109.186,104.933,84.4474,-0.000310716,0.000320897
24,hh,5.5,85,3.31938E+06,72.0606,109.186,104.933,84.4474,-0.000310716,0.000320897
